Allocation Subcategory,City,College,Gift Allocation,Gift Amount,Gift Date,Major,Prospect ID,State,Year,Month,Quarter,Weekday,Weekend,Donation Category
Diversity Fund,Kansas City,College of Engineering,Endowment,6301.0,2010-08-24,Biosystems Engineering,1029,MO,2010,August,3,Tuesday,No,VIP
University Annual Fund,Kansas City,College of Engineering,Endowment,8941.0,2013-04-29,Biosystems Engineering,1029,MO,2013,April,2,Monday,No,VIP
University Annual Fund,Lansing,College of Natural Science,Endowment,5634.0,2010-10-22,Statistics,1030,MI,2010,October,4,Friday,No,VIP
College of Engineering,Seattle,College of Social Science,Scholarship,7575.0,2010-04-15,Sociology,1031,WA,2010,April,2,Thursday,No,VIP
College of Engineering,Cincinnati,College of Engineering,Scholarship,2015.0,2010-01-18,Computer Science,1032,OH,2010,January,1,Monday,No,Premium
Faculty Chair Endowments,Chicago,College of Agriculture and Natural Resources,Endowment,2587.0,2010-09-26,Landscape Architecture,1033,IL,2010,September,3,Sunday,Yes,Premium
College of Natural Science,Chicago,College of Agriculture and Natural Resources,Scholarship,7641.0,2013-09-09,Landscape Architecture,1033,IL,2013,September,3,Monday,No,VIP
In-State Scholarship Fund,Des Moines,College of Nursing,Scholarship,7126.0,2010-10-21,Summer Research Program,1034,IA,2010,October,4,Thursday,No,VIP
Faculty Chair Endowments,Des Moines,College of Nursing,Endowment,383.0,2013-02-09,Summer Research Program,1034,IA,2013,February,1,Saturday,Yes,Medium
Campus Museums,Overland Park,College of Business,Campus Resource,8199.0,2010-04-01,Hospitality Business,1035,KS,2010,April,2,Thursday,No,VIP
College of Education,Overland Park,College of Business,Scholarship,8816.0,2013-07-02,Hospitality Business,1035,KS,2013,July,3,Tuesday,No,VIP
College of Education,Wichita,College of Arts and Sciences,Scholarship,8561.0,2010-07-06,Japanese,1036,KS,2010,July,3,Tuesday,No,VIP
College of Engineering,Wichita,College of Arts and Sciences,Scholarship,5453.0,2013-04-17,Japanese,1036,KS,2013,April,2,Wednesday,No,VIP
College of Engineering,Little Rock,College of Natural Science,Scholarship,313.0,2010-05-15,Statistics,1037,AR,2010,May,2,Saturday,Yes,Medium
Faculty Chair Endowments,Little Rock,College of Natural Science,Endowment,7610.0,2013-05-17,Statistics,1037,AR,2013,May,2,Friday,No,VIP
Parents Association,Richmond,College of Social Science,Campus Resource,4238.0,2010-12-28,Psychology,1038,VA,2010,December,4,Tuesday,No,Premium
University Libraries,Richmond,College of Social Science,Campus Resource,995.0,2013-12-03,Psychology,1038,VA,2013,December,4,Tuesday,No,Large
College of Veterinary Medicine,Cincinnati,College of Natural Science,Scholarship,4821.0,2010-08-14,Plant Biology,1039,OH,2010,August,3,Saturday,Yes,Premium
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,6997.0,2013-02-28,Plant Biology,1039,OH,2013,February,1,Thursday,No,VIP
College of Natural Science,Oklahoma City,College of Social Science,Scholarship,8906.0,2010-03-11,Political Science-Prelaw,1040,OK,2010,March,1,Thursday,No,VIP
Campus Recreation,Oklahoma City,College of Social Science,Campus Resource,7944.0,2013-11-11,Political Science-Prelaw,1040,OK,2013,November,4,Monday,No,VIP
College of Nursing,Durham,College of Agriculture and Natural Resources,Scholarship,267.0,2010-05-13,Construction Management,1041,NC,2010,May,2,Thursday,No,Medium
Faculty Chair Endowments,Durham,College of Agriculture and Natural Resources,Endowment,2245.0,2013-05-21,Construction Management,1041,NC,2013,May,2,Tuesday,No,Premium
Campus Museums,Denver,College of Arts and Sciences,Campus Resource,10528.5,2010-09-10,Japanese,1042,CO,2010,September,3,Friday,No,VIP
College of Business,Denver,College of Arts and Sciences,Scholarship,250.5,2013-11-23,Japanese,1042,CO,2013,November,4,Saturday,Yes,Medium
University Annual Fund,Los Angeles,College of Social Science,Endowment,2524.0,2010-07-29,Geographic Information Science,1043,CA,2010,July,3,Thursday,No,Premium
Campus Recreation,Los Angeles,College of Social Science,Campus Resource,1797.0,2013-06-19,Geographic Information Science,1043,CA,2013,June,2,Wednesday,No,Premium
Alumni Association,Cincinnati,College of Social Science,Campus Resource,6377.0,2010-07-18,Public Policy,1044,OH,2010,July,3,Sunday,Yes,VIP
Diversity Fund,Cincinnati,College of Social Science,Endowment,2402.0,2013-11-29,Public Policy,1044,OH,2013,November,4,Friday,No,Premium
University Annual Fund,Cleveland,College of Communication Arts and Sciences,Endowment,6384.0,2010-02-18,Journalism,1045,OH,2010,February,1,Thursday,No,VIP
College of Business,Phoenix,College of Engineering,Scholarship,7903.0,2010-07-02,Electrical Engineering,1046,AZ,2010,July,3,Friday,No,VIP
College of Natural Science,Detroit,College of Agriculture and Natural Resources,Scholarship,7597.0,2010-06-19,Packaging,1047,MI,2010,June,2,Saturday,Yes,VIP
Athletics,Indianapolis,College of Agriculture and Natural Resources,Campus Resource,8987.0,2010-10-08,Environmental Studies and Agriscience,1048,IN,2010,October,4,Friday,No,VIP
In-State Scholarship Fund,Tallahassee,College of Arts and Sciences,Scholarship,8642.0,2010-02-25,Chinese,1049,FL,2010,February,1,Thursday,No,VIP
College of Natural Science,Raleigh,College of Social Science,Scholarship,584.0,2010-08-26,Public Policy,1050,NC,2010,August,3,Thursday,No,Large
Faculty Chair Endowments,Grand Rapids,College of Political Science,Endowment,5057.0,2010-12-29,College of Political Science,1051,MI,2010,December,4,Wednesday,No,VIP
Parents Association,Albuquerque,College of Engineering,Campus Resource,3057.0,2010-10-23,Engineering-No Major,1052,NM,2010,October,4,Saturday,Yes,Premium
Honors Program,Cincinnati,College of Social Science,Campus Resource,7196.0,2010-08-17,History,1053,OH,2010,August,3,Tuesday,No,VIP
Athletics,North Las Vegas,College of Social Science,Campus Resource,8166.0,2010-09-04,Interdisciplinary Studies in Social Science - Social Science Education,1054,NV,2010,September,3,Saturday,Yes,VIP
Trustees Fund,Lincoln,College of Social Science,Endowment,5840.0,2010-08-20,Sociology,1055,NE,2010,August,3,Friday,No,VIP
University Annual Fund,Lincoln,College of Social Science,Endowment,7931.0,2013-05-03,Sociology,1055,NE,2013,May,2,Friday,No,VIP
University Libraries,Des Moines,College of Engineering,Campus Resource,6856.0,2010-09-21,Engineering-No Major,1056,IA,2010,September,3,Tuesday,No,VIP
Campus Recreation,Des Moines,College of Engineering,Campus Resource,6400.0,2013-03-16,Engineering-No Major,1056,IA,2013,March,1,Saturday,Yes,VIP
College of Social Science,Alexandria,College of Natural Science,Scholarship,3281.0,2010-10-06,Computational Mathematics,1057,VA,2010,October,4,Wednesday,No,Premium
Athletics,Alexandria,College of Natural Science,Campus Resource,9332.0,2013-02-22,Computational Mathematics,1057,VA,2013,February,1,Friday,No,VIP
College of Agriculture and Natural Resources,Cincinnati,College of Natural Science,Scholarship,6195.0,2010-06-13,Predental,1058,OH,2010,June,2,Sunday,Yes,VIP
College of Natural Science,Cincinnati,College of Natural Science,Scholarship,8426.0,2013-10-06,Predental,1058,OH,2013,October,4,Sunday,Yes,VIP
College of Nursing,Albuquerque,College of Communication Arts and Sciences,Scholarship,3870.0,2010-08-28,Advertising,1059,NM,2010,August,3,Saturday,Yes,Premium
College of Social Science,Albuquerque,College of Communication Arts and Sciences,Scholarship,6248.0,2013-05-04,Advertising,1059,NM,2013,May,2,Saturday,Yes,VIP
College of Social Science,Spokane,College of Communication Arts and Sciences,Scholarship,6980.0,2010-01-23,Media and Information,1060,WA,2010,January,1,Saturday,Yes,VIP
University Annual Fund,Boston,College of Business,Endowment,7047.0,2010-04-28,Supply Chain Management,1061,MA,2010,April,2,Wednesday,No,VIP
Trustees Fund,Hartford,College of Arts and Sciences,Endowment,3818.0,2010-08-15,Japanese,1062,CT,2010,August,3,Sunday,Yes,Premium
College of Communication Arts and Sciences,Houston,College of Agriculture and Natural Resources,Scholarship,9585.0,2010-02-06,Agriculture and Natural Resources-No Preference,1063,TX,2010,February,1,Saturday,Yes,VIP
College of Communication Arts and Sciences,San Diego,College of Arts and Sciences,Scholarship,5874.0,2010-08-22,Russian,1064,CA,2010,August,3,Sunday,Yes,VIP
Parents Association,Kansas City,College of Music,Campus Resource,3045.0,2010-03-02,Composition,1065,MO,2010,March,1,Tuesday,No,Premium
College of Arts and Sciences,Chicago,College of Natural Science,Scholarship,2429.0,2010-03-22,Genomics & Molecular Genetics,1066,IL,2010,March,1,Monday,No,Premium
College of Arts and Sciences,Durham,College of Business,Scholarship,3784.0,2010-10-18,Supply Chain Management,1067,NC,2010,October,4,Monday,No,Premium
University Annual Fund,San Diego,College of Engineering,Endowment,7928.0,2010-06-21,Biosystems Engineering,1068,CA,2010,June,2,Monday,No,VIP
Trustees Fund,Omaha,College of Social Science,Endowment,572.0,2010-05-25,Interdisciplinary Studies in Social Science - Social Science Education,1069,NE,2010,May,2,Tuesday,No,Large
College of Natural Science,Rochester,College of Social Science,Scholarship,5724.0,2010-07-19,Economics,1070,NY,2010,July,3,Monday,No,VIP
Trustees Fund,Washington,College of Agriculture and Natural Resources,Endowment,3820.0,2010-09-27,Natural Resource Recreation and Tourism,1071,DC,2010,September,3,Monday,No,Premium
University Annual Fund,New York,College of Social Science,Endowment,4123.0,2010-11-11,Political Science,1072,NY,2010,November,4,Thursday,No,Premium
College of Business,Hartford,College of Political Science,Scholarship,8519.0,2010-06-02,Comparative Cultures and Politics,1073,CT,2010,June,2,Wednesday,No,VIP
Trustees Fund,Tulsa,College of Business,Endowment,8015.0,2010-11-24,Supply Chain Management,1074,OK,2010,November,4,Wednesday,No,VIP
Campus Recreation,Memphis,College of Engineering,Campus Resource,3379.0,2010-02-07,Applied Engineering Sciences,1075,TN,2010,February,1,Sunday,Yes,Premium
Campus Museums,Los Angeles,College of Music,Campus Resource,1128.0,2010-01-01,Music,1076,CA,2010,January,1,Friday,No,Premium
College of Natural Science,Salt Lake City,College of Social Science,Scholarship,2727.0,2010-10-06,Criminal Justice,1077,UT,2010,October,4,Wednesday,No,Premium
College of Natural Science,Denver,College of Agriculture and Natural Resources,Scholarship,13698.0,2010-09-13,Natural Resource Recreation and Tourism,1078,CO,2010,September,3,Monday,No,VIP
Diversity Fund,Hartford,College of Agriculture and Natural Resources,Endowment,7129.0,2010-01-06,Agriculture and Natural Resources-No Preference,1079,CT,2010,January,1,Wednesday,No,VIP
Trustees Fund,Denver,College of Arts and Sciences,Endowment,225.0,2010-09-08,Russian,1080,CO,2010,September,3,Wednesday,No,Medium
College of Social Science,Overland Park,College of Agriculture and Natural Resources,Scholarship,8176.0,2010-01-19,Animal Science,1081,KS,2010,January,1,Tuesday,No,VIP
College of Arts and Sciences,Hartford,College of Engineering,Scholarship,4034.0,2010-10-28,Computer Science,1082,CT,2010,October,4,Thursday,No,Premium
University Annual Fund,Kansas City,College of Engineering,Endowment,2556.0,2010-08-24,Computer Science,1083,MO,2010,August,3,Tuesday,No,Premium
University Annual Fund,Charlotte,College of Business,Endowment,3641.0,2010-10-02,Hospitality Business,1084,NC,2010,October,4,Saturday,Yes,Premium
College of Natural Science,Charlotte,College of Business,Scholarship,5240.0,2013-05-26,Hospitality Business,1084,NC,2013,May,2,Sunday,Yes,VIP
College of Natural Science,Birmingham,College of Natural Science,Scholarship,8571.0,2010-05-08,Environmental Biology/Microbiology,1085,AL,2010,May,2,Saturday,Yes,VIP
College of Social Science,Birmingham,College of Natural Science,Scholarship,7746.0,2013-04-05,Environmental Biology/Microbiology,1085,AL,2013,April,2,Friday,No,VIP
Faculty Chair Endowments,Denver,College of Engineering,Endowment,5397.0,2010-01-08,Materials Science and Engineering,1086,CO,2010,January,1,Friday,No,VIP
College of Arts and Sciences,Denver,College of Engineering,Scholarship,8241.0,2013-03-13,Materials Science and Engineering,1086,CO,2013,March,1,Wednesday,No,VIP
Diversity Fund,Houston,College of Natural Science,Endowment,3292.0,2010-05-25,Neuroscience,1087,TX,2010,May,2,Tuesday,No,Premium
Diversity Fund,Houston,College of Natural Science,Endowment,3336.0,2013-09-10,Neuroscience,1087,TX,2013,September,3,Tuesday,No,Premium
College of Engineering,Atlanta,College of Business,Scholarship,4251.0,2010-12-18,Accounting,1088,GA,2010,December,4,Saturday,Yes,Premium
Trustees Fund,Atlanta,College of Business,Endowment,6361.0,2013-05-02,Accounting,1088,GA,2013,May,2,Thursday,No,VIP
University Annual Fund,Omaha,College of Agriculture and Natural Resources,Endowment,2051.0,2010-11-19,Natural Resource Recreation and Tourism,1089,NE,2010,November,4,Friday,No,Premium
Diversity Fund,Omaha,College of Agriculture and Natural Resources,Endowment,8712.0,2013-07-01,Natural Resource Recreation and Tourism,1089,NE,2013,July,3,Monday,No,VIP
University Annual Fund,Scottsdale,College of Social Science,Endowment,9728.0,2010-11-16,World Politics,1090,AZ,2010,November,4,Tuesday,No,VIP
Faculty Chair Endowments,Scottsdale,College of Social Science,Endowment,8939.0,2013-09-06,World Politics,1090,AZ,2013,September,3,Friday,No,VIP
College of Business,San Diego,College of Engineering,Scholarship,1093.0,2010-02-05,Applied Engineering Sciences,1091,CA,2010,February,1,Friday,No,Premium
University Annual Fund,San Diego,College of Engineering,Endowment,554.0,2013-12-17,Applied Engineering Sciences,1091,CA,2013,December,4,Tuesday,No,Large
Alumni Association,Cincinnati,College of Natural Science,Campus Resource,91.0,2010-01-07,Earth Science Interdepartmental,1092,OH,2010,January,1,Thursday,No,Small
College of Music,Cincinnati,College of Natural Science,Scholarship,8592.0,2013-02-20,Earth Science Interdepartmental,1092,OH,2013,February,1,Wednesday,No,VIP
College of Agriculture and Natural Resources,Indianapolis,College of Social Science,Scholarship,3912.0,2010-03-10,Interdisciplinary Studies in Social Science,1093,IN,2010,March,1,Wednesday,No,Premium
Athletics,Indianapolis,College of Social Science,Campus Resource,1778.0,2013-05-08,Interdisciplinary Studies in Social Science,1093,IN,2013,May,2,Wednesday,No,Premium
Campus Museums,Denver,College of Education,Campus Resource,4717.5,2010-07-02,Education,1094,CO,2010,July,3,Friday,No,Premium
College of Nursing,Denver,College of Education,Scholarship,13339.5,2013-06-07,Education,1094,CO,2013,June,2,Friday,No,VIP
Campus Museums,Denver,College of Natural Science,Campus Resource,11287.5,2010-03-19,Human Biology,1095,CO,2010,March,1,Friday,No,VIP
College of Nursing,Denver,College of Natural Science,Scholarship,7782.0,2013-08-22,Human Biology,1095,CO,2013,August,3,Thursday,No,VIP
University Annual Fund,Denver,College of Natural Science,Endowment,5281.5,2010-05-02,Environmental Biology/Zoology,1096,CO,2010,May,2,Sunday,Yes,VIP
College of Nursing,Denver,College of Natural Science,Scholarship,7114.5,2013-06-07,Environmental Biology/Zoology,1096,CO,2013,June,2,Friday,No,VIP
University Annual Fund,San Francisco,College of Arts and Sciences,Endowment,5239.0,2010-05-24,Art History and Visual Culture,1097,CA,2010,May,2,Monday,No,VIP
University Libraries,San Francisco,College of Arts and Sciences,Campus Resource,2779.0,2013-06-19,Art History and Visual Culture,1097,CA,2013,June,2,Wednesday,No,Premium
Trustees Fund,Austin,College of Natural Science,Endowment,5779.0,2010-10-25,Biochemistry and Molecular Biology,1098,TX,2010,October,4,Monday,No,VIP
Campus Recreation,Austin,College of Natural Science,Campus Resource,24261.0,2011-09-28,Biochemistry and Molecular Biology,1098,TX,2011,September,3,Wednesday,No,VIP
College of Agriculture and Natural Resources,Austin,College of Natural Science,Scholarship,22141.0,2013-09-18,Biochemistry and Molecular Biology,1098,TX,2013,September,3,Wednesday,No,VIP
Trustees Fund,Austin,College of Natural Science,Endowment,29033.0,2014-07-08,Biochemistry and Molecular Biology,1098,TX,2014,July,3,Tuesday,No,VIP
University Libraries,Phoenix,College of Nursing,Campus Resource,1117.0,2010-06-04,Nursing,1099,AZ,2010,June,2,Friday,No,Premium
College of Natural Science,Phoenix,College of Nursing,Scholarship,1620.0,2013-10-07,Nursing,1099,AZ,2013,October,4,Monday,No,Premium
University Annual Fund,Austin,College of Natural Science,Endowment,7234.0,2010-07-05,Environmental Biology/Plant Biol,1100,TX,2010,July,3,Monday,No,VIP
Parents Association,Austin,College of Natural Science,Campus Resource,9783.0,2013-08-08,Environmental Biology/Plant Biol,1100,TX,2013,August,3,Thursday,No,VIP
University Annual Fund,Kansas City,College of Social Science,Endowment,368.0,2010-12-08,Anthropology,1101,KS,2010,December,4,Wednesday,No,Medium
Faculty Chair Endowments,Kansas City,College of Social Science,Endowment,3804.0,2013-06-27,Anthropology,1101,KS,2013,June,2,Thursday,No,Premium
College of Social Science,Houston,College of Business,Scholarship,1758.0,2010-10-16,Marketing,1102,TX,2010,October,4,Saturday,Yes,Premium
Faculty Chair Endowments,Houston,College of Business,Endowment,4948.0,2013-10-20,Marketing,1102,TX,2013,October,4,Sunday,Yes,Premium
Faculty Chair Endowments,Denver,College of Arts and Sciences,Endowment,2307.0,2010-04-29,Humanities-Prelaw,1103,CO,2010,April,2,Thursday,No,Premium
University Annual Fund,Denver,College of Arts and Sciences,Endowment,7560.0,2013-08-11,Humanities-Prelaw,1103,CO,2013,August,3,Sunday,Yes,VIP
In-State Scholarship Fund,Overland Park,College of Natural Science,Scholarship,1434.0,2010-02-19,Biomedical Laboratory Science,1104,KS,2010,February,1,Friday,No,Premium
Faculty Chair Endowments,Overland Park,College of Natural Science,Endowment,9725.0,2013-05-14,Biomedical Laboratory Science,1104,KS,2013,May,2,Tuesday,No,VIP
Campus Museums,Alexandria,College of Engineering,Campus Resource,6032.0,2010-09-23,Applied Engineering Sciences,1105,VA,2010,September,3,Thursday,No,VIP
Faculty Chair Endowments,Alexandria,College of Engineering,Endowment,5550.0,2013-04-17,Applied Engineering Sciences,1105,VA,2013,April,2,Wednesday,No,VIP
University Libraries,Houston,College of Political Science,Campus Resource,1437.0,2010-03-26,Comparative Cultures and Politics,1106,TX,2010,March,1,Friday,No,Premium
College of Engineering,Houston,College of Political Science,Scholarship,464.0,2013-01-08,Comparative Cultures and Politics,1106,TX,2013,January,1,Tuesday,No,Medium
College of Engineering,Richmond,College of Social Science,Scholarship,8916.0,2010-12-14,Geography,1107,VA,2010,December,4,Tuesday,No,VIP
College of Agriculture and Natural Resources,Richmond,College of Social Science,Scholarship,1198.0,2013-10-06,Geography,1107,VA,2013,October,4,Sunday,Yes,Premium
In-State Scholarship Fund,San Diego,College of Natural Science,Scholarship,9344.0,2010-03-14,Physical Science Interdepartmental,1108,CA,2010,March,1,Sunday,Yes,VIP
University Annual Fund,San Diego,College of Natural Science,Endowment,4018.0,2013-09-08,Physical Science Interdepartmental,1108,CA,2013,September,3,Sunday,Yes,Premium
College of Natural Science,Houston,College of Arts and Sciences,Scholarship,892.0,2010-08-10,Humanities-Prelaw,1109,TX,2010,August,3,Tuesday,No,Large
University Libraries,Little Rock,College of Education,Campus Resource,1858.0,2010-04-02,Special Education-Learning Disabilities,1110,AR,2010,April,2,Friday,No,Premium
University Libraries,Providence,College of Communication Arts and Sciences,Campus Resource,4090.0,2010-05-26,Journalism,1111,RI,2010,May,2,Wednesday,No,Premium
College of Natural Science,Cedar Rapids,College of Natural Science,Scholarship,5165.0,2010-09-24,Statistics,1112,IA,2010,September,3,Friday,No,VIP
College of Natural Science,Houston,College of Agriculture and Natural Resources,Scholarship,5981.0,2010-07-14,Fisheries and Wildlife,1113,TX,2010,July,3,Wednesday,No,VIP
Diversity Fund,Lansing,College of Arts and Sciences,Endowment,4356.0,2010-06-05,English,1114,MI,2010,June,2,Saturday,Yes,Premium
Athletics,Denver,College of Arts and Sciences,Campus Resource,6054.0,2010-08-19,Japanese,1115,CO,2010,August,3,Thursday,No,VIP
Minority Scholarship Fund,Salt Lake City,College of Natural Science,Scholarship,8925.0,2010-08-18,Biochemistry and Molecular Biology/Biotechnology,1116,UT,2010,August,3,Wednesday,No,VIP
In-State Scholarship Fund,Phoenix,College of Agriculture and Natural Resources,Scholarship,4328.0,2010-01-03,Horticulture,1117,AZ,2010,January,1,Sunday,Yes,Premium
Trustees Fund,Memphis,College of Social Science,Endowment,5845.0,2010-07-15,Human Development and Family Studies,1118,TN,2010,July,3,Thursday,No,VIP
Alumni Association,Cedar Rapids,College of Social Science,Campus Resource,6229.0,2010-03-10,History Education,1119,IA,2010,March,1,Wednesday,No,VIP
University Annual Fund,Richmond,College of Agriculture and Natural Resources,Endowment,6431.0,2010-06-18,Packaging,1120,VA,2010,June,2,Friday,No,VIP
University Annual Fund,Miami,College of Natural Science,Endowment,1700.0,2010-11-25,Microbiology,1121,FL,2010,November,4,Thursday,No,Premium
College of Natural Science,San Francisco,College of Arts and Sciences,Scholarship,4510.0,2010-09-02,Interdisciplinary Humanities,1122,CA,2010,September,3,Thursday,No,Premium
Faculty Chair Endowments,Hartford,College of Arts and Sciences,Endowment,6074.0,2010-11-25,Chinese,1123,CT,2010,November,4,Thursday,No,VIP
